Date Time (UTC),Device,Direction,Payload,Approx Lat/Lng,Payload (Text),Length (Bytes),Credits
06/Oct/2019 06:32:49,RockBLOCK 15994,MO,31382e312c2038353335352c20313432342c202033372e3134342c2d3131352e3236322c20313530322c302c30,"37.13645,-115.2155","18.1, 85355, 1424,  37.144,-115.262, 1502,0,0",45,1
06/Oct/2019 05:59:57,RockBLOCK 15994,MO,31372e382c2038353335362c20313432332c202033372e3134342c2d3131352e3236322c20313530332c302c30,"37.14686666666667,-115.27545","17.8, 85356, 1423,  37.144,-115.262, 1503,0,0",45,1
06/Oct/2019 05:27:48,RockBLOCK 15994,MO,31372e312c2038353333352c20313432352c202033372e3134342c2d3131352e3236322c20313530362c302c30,"37.14686666666667,-115.27545","17.1, 85335, 1425,  37.144,-115.262, 1506,0,0",45,1
06/Oct/2019 04:55:35,RockBLOCK 15994,MO,31352e302c2038353334322c20313432352c202033372e3134342c2d3131352e3236322c20313530392c302c30,"37.14686666666667,-115.27545","15.0, 85342, 1425,  37.144,-115.262, 1509,0,0",45,1
06/Oct/2019 04:22:12,RockBLOCK 15994,MO,31312e392c2038353333392c20313432352c202033372e3134342c2d3131352e3236322c20313531302c302c30,"37.14686666666667,-115.27545","11.9, 85339, 1425,  37.144,-115.262, 1510,0,0",45,1
06/Oct/2019 04:19:27,RockBLOCK 15994,MT,00002020,,,4,1
06/Oct/2019 04:16:37,RockBLOCK 15994,MO,31312e322c2038353333342c20313432362c202033372e3134342c2d3131352e3236322c20313531302c302c30,"37.1077,-115.2155","11.2, 85334, 1426,  37.144,-115.262, 1510,0,0",45,1
06/Oct/2019 04:13:24,RockBLOCK 15994,MO,31302e382c2038353332362c20313432362c202033372e3134342c2d3131352e3236322c20313531302c302c30,"37.14686666666667,-115.27545","10.8, 85326, 1426,  37.144,-115.262, 1510,0,0",45,1
06/Oct/2019 04:07:19,RockBLOCK 15994,MO,31302e302c2038353332322c20313432372c202033372e3134342c2d3131352e3236322c20313531302c302c30,"37.15615,-115.2347","10.0, 85322, 1427,  37.144,-115.262, 1510,0,0",45,1
06/Oct/2019 04:04:11,RockBLOCK 15994,MO,20392e352c2038353331392c20313432372c202033372e3134342c2d3131352e3236322c20313531302c302c30,"37.15615,-115.2347"," 9.5, 85319, 1427,  37.144,-115.262, 1510,0,0",45,1
